# MAMBA ORIGINS - Kobe Bryant 1996-97 Rookie Card Checklist
# A Cajun Cardboard Creations Project by Bryan Denison
# Exported: August 10, 2026
#
Collected,Card Name,Brand,Type,Serial,Auto,Licensed,Odds
,Collector's Edge Rookie Rage - Die Cuts #6,Collector's Edge,Parallel,,No,No,1:100
,Collector's Edge Rookie Rage - Gold #6,Collector's Edge,Parallel,,No,No,1:100
,Collector's Edge Rookie Rage - Ice Sculpture #6,Collector's Edge,Insert,,No,No,
,Collector's Edge Rookie Rage - Key Kraze '96 Draft Picks #3,Collector's Edge,Insert,,No,No,
,Collector's Edge Rookie Rage - Key Kraze #3,Collector's Edge,Insert,/3200,No,No,
,Collector's Edge Rookie Rage - Key Kraze Die Cuts #3,Collector's Edge,Insert/Parallel,/3100,No,No,
,Collector's Edge Rookie Rage - Key Kraze Factory Set #3,Collector's Edge,Base,,No,No,
,Collector's Edge Rookie Rage - Key Kraze Gold #3,Collector's Edge,Insert/Parallel,/1000,No,No,
,Collector's Edge Rookie Rage - Key Kraze Holofoil #3,Collector's Edge,Insert/Parallel,/2000,No,No,
,Collector's Edge Rookie Rage - Pink #6,Collector's Edge,Parallel,,No,No,
,Collector's Edge Rookie Rage - Radical Recruits #3,Collector's Edge,Insert,/6750,No,No,
,Collector's Edge Rookie Rage - Radical Recruits Factory Set #3,Collector's Edge,Insert/Parallel,,No,No,
,Collector's Edge Rookie Rage - Radical Recruits Gold #3,Collector's Edge,Insert/Parallel,/1000,No,No,
,Collector's Edge Rookie Rage - Radical Recruits Holofoil #3,Collector's Edge,Insert/Parallel,/2500,No,No,
,Collector's Edge Rookie Rage - Radical Recruits Holofoil Factory Set #3,Collector's Edge,Insert/Parallel,,No,No,
,Collector's Edge Rookie Rage - Time Warp #TW3 w/ Alex English,Collector's Edge,Insert,/12000,No,No,
,Collector's Edge Rookie Rage - Time Warp Factory Set #TW3,Collector's Edge,Insert/Parallel,,No,No,
,Collector's Edge Rookie Rage - Time Warp Gold #TW3,Collector's Edge,Insert/Parallel,/1000,No,No,
,Collector's Edge Rookie Rage - Time Warp Holofoil #TW3,Collector's Edge,Insert/Parallel,/2500,No,No,
,Collector's Edge Rookie Rage - Time Warp Vintage Autographs #TW3,Collector's Edge,Insert/Parallel,/1000,Yes,No,
,Collector's Edge Rookie Rage #6,Collector's Edge,Base,,No,No,
,Pacific Power - Gold Crown Die Cuts #GC-3,Pacific Power,Insert,,No,No,1:185
,Pacific Power - In The Paint #IP-3,Pacific Power,Insert,,No,No,1:247
,Pacific Power - Jump Ball #JB-3,Pacific Power,Insert,,No,No,1:370
,Pacific Power - Platinum (Blue) #PP-6,Pacific Power,Parallel,,No,No,"1:38,934"
,Pacific Power - Platinum Crown Die Cuts #PC-1,Pacific Power,Base,,No,No,
,Pacific Power - Regents of Roundball #RR-6,Pacific Power,Insert,,No,No,
,Pacific Power - Silver #PP-6,Pacific Power,Parallel,,No,No,1:665
,Pacific Power #PP-6,Pacific Power,Base,,No,No,
,Press Pass - Autographs #NNO,Press Pass,Insert,,Yes,No,"1:1,440"
,Press Pass - Net Burners #NB 13,Press Pass,Insert,,No,No,1:45
