# MJ HIERARCHY - The Michael Jordan Card Universe — 378 Cards Across 4 Tiers
# A Cajun Cardboard Creations Project by Bryan Denison
# Exported: June 1, 2026
#
Collected,Card Name,Tier,Type,Serial,Odds
,1997 Metal Universe PMG Green #23 /10,1,Parallel,/10,
,1997 Metal Universe PMG Red #23 /100 (Qty. 90),1,Parallel,/100,
,1997 Metal Universe Championship PMG #23 /50,1,Parallel,/50,
,1998 Metal Universe PMG #1 /50,1,Parallel,/50,
,1998 Skybox Molten Metal Fusion Titanium #41 /40,1,Insert/Parallel,/40,
,1997 E-X2001 Essential Credentials Now #9 /9,1,Parallel,/9,
,1997 E-X2001 Essential Credentials Future #9 /72,1,Parallel,/72,
,1998 UD Choice Starquest Gold #SQ30 /100,1,Insert/Parallel,/100,
,1997 Finest Die-Cut Gold Embossed Refractor #154 /74,1,Insert/Parallel,/74,
,1998 Fleer Tradition Playmakers Theatre #9 /100,1,Insert,/100,
,1986 Fleer #57 RC,1,Base,,
,1997 Ultra Stars Gold #1,1,Insert/Parallel,,"1:28,800 Ser.1"
,1998 Hoops Slam Bams #1 /100,1,Insert/Parallel,/100,
,1984 Star #101 RC,1,Base,,
,1997 Skybox Premium Team Skybox Star Rubies #235 /50,1,Parallel,/50,
,1997 Skybox Premium Star Rubies #29 /50,1,Parallel,/50,
,1998 Skybox Premium Star Rubies #23 /50,1,Parallel,/50,
,1997 SPx Grand Finale #6 /50,1,Parallel,/50,
,1997 E-X2001 Jambalaya #6,1,Insert,,"1:10,800"
,1997 Flair Showcase Row 0 Legacy Collection #1 /100,1,Parallel,/100,
,1997 Flair Showcase Row 1 Legacy Collection #1 /100,1,Parallel,/100,
,1997 Flair Showcase Row 2 Legacy Collection #1 /100,1,Parallel,/100,
,1997 Flair Showcase Row 3 Legacy Collection #1 /100,1,Parallel,/100,
,1996 Flair Showcase Row 0 Legacy Collection #23 /150,1,Parallel,/150,
,1996 Flair Showcase Row 1 Legacy Collection #23 /150,1,Parallel,/150,
,1996 Flair Showcase Row 2 Legacy Collection #23 /150,1,Parallel,/150,
,1998 NBA Hoops Starting Five #23 /5,1,Parallel,/5,
,1998 Skybox Thunder Noyz Boyz #9,2,Insert,,1:4500
,1997 Ultra Platinum Medallion #23P /100 (Ser.1 H),2,Parallel,/100,
,1998 Ultra Platinum Medallion #85P /99,2,Parallel,/99,
,1997 Ultra Platinum Medallion #259P /100 (Ser.2 H),2,Parallel,/100,
,"1996 Ultra Platinum Medallion #P280 (1:14,800 Ser.2)",2,Parallel,,"1:14,800 Ser.2"
,"1996 Ultra Platinum Medallion #P143 (1:26,640 Ser.1)",2,Parallel,,"1:26,640 Ser.1"
,"1996 Ultra Platinum Medallion #P16 (1:26,640 Ser.1)",2,Parallel,,"1:26,640 Ser.1"
,1998 Fleer Tradition Classic '61 #23 /61,2,Parallel,/61,
,1998 Fleer Tradition Classic '61 #142 /61,2,Parallel,/61,
,1996 Skybox E-X2000 Cut Above #5,2,Insert,,"1:2,880"
,1998 Skybox Molten Metal Fusion #41 /250,2,Insert,/250,
,1997 Ultra Star Power Supreme #1,2,Insert/Parallel,,"1:5,760 Ser.2"
,1993 Finest Refractor #1,2,Parallel,,"1:1,430"
,1993 Ultra Scoring Kings #5,2,Insert,,1:360 Ser.1 H
,1998 Hoops Bams #1 /250,2,Insert,/250,
,1998 Metal Universe Linchpins #8,2,Insert,,"1:3,600"
,1986 Fleer Sticker #8,2,Insert,,1:11
,1997 Z-Force Super Rave #190 /50 (Ser.2 H),2,Parallel,/50,
,1997 SP Authentic Profiles Lvl. 3 #P1 /100,2,Insert/Parallel,/100,
,1998 Skybox Thunder Super Rave #106 /25,2,Parallel,/25,
,1998 Skybox Premium Intimidation Nation #8,2,Insert,,"1:3,600 Ser.1"
,1997 Skybox Premium Thunder & Lightning #5,2,Insert,,"1:2,880 Ser.2"
,1996 Flair Showcase Hot Shots #1,2,Insert,,"1:1,800"
,1997 Hoops High Voltage 500 Volts #14 /500 (Ser.2 H),2,Insert/Parallel,/500,
,1997 Upper Deck Diamond Dimensions #D23 /100 (Ser.1),2,Insert/Parallel,/100,
,1997 Metal Universe Platinum Portraits #1,2,Insert,,"1:4,320"
,1995 Finest Mystery Orange Refractor Test Issue #M1,2,Insert/Parallel,,
,1996 Finest Gold Refractor #291,2,Parallel,,"1:5,184"
,1985 Prism Jewel Sticker #NNO,2,Base,,N/A
,1997 Skybox Premium Golden Touch #1GT,2,Insert,,"1:5,400 Ser.2"
,1996 Skybox Premium Golden Touch #5,2,Insert,,"1:2,400 Ser.2"
,1997 Metal Universe Championship Galaxy #1,2,Insert,,"1:2,880"
,1997 Metal Universe Championship Hardware #5,2,Insert,,"1:5,400"
,1998 Flair Showcase TakeIt2.Net #13 /1000,2,Insert,/1000,
,1998 Upper Deck Premium Choice Reserve #23 /100,2,Parallel,/100,
,1997 Z-Force Rave Reviews #6S,2,Insert,,"1:3,456 Ser.1"
,1996 Fleer Thrill Seekers #6,2,Insert,,"1:3,600 Ser.2 H"
,1995 Skybox Premium Meltdown #M1,2,Insert,,1:540 Ser.2 H/J
,1996 Topps Chrome Refractor #139R,2,Parallel,,"1:2,640"
,1996 Skybox Premium Rubies #16,2,Parallel,,"1:3,144 Ser.1 H"
,1997 Skybox Premium Premium Player #1,2,Insert,,"1:2,880"
,1997 Ultra Ultrabilities Superstar #1,2,Insert/Parallel,,"1:5,760 Ser.1 H/R"
,1997 Stadium Club Triumvirate Illuminator #T1B,2,Insert/Parallel,,"1:9,216 Ser.1 R"
,1996 E-X2000 Credentials #9 /499,2,Parallel,/499,
,1996 Skybox Premium Rubies #247,2,Parallel,,"1:3,552 Ser.2 H"
,1997 Z-Force Big Men On Court #9,2,Insert,,"1:4,320 Ser.2"
,1996 Z-Force Big Men On Court #4,2,Insert,,"1:2,400 Ser.2"
,1996 Z-Force Big Men On Court Z-Peat #4,2,Insert/Parallel,,"1:11,200 Ser.2"
,1998 Metal Universe Planet Metal #1,2,Insert,,1:540
,1997 Z-Force Rave #23 /399 (Ser.1 H),2,Parallel,/399,
,1997 Z-Force Rave #190 /399 (Ser.2 H),2,Parallel,/399,
,1992 Stadium Club Beam Team #1,2,Insert,,1:756 Ser.2
,1997 Stadium Club Triumvirate Illuminator #T9B,2,Insert/Parallel,,"1:9,216 Ser.2 R"
,1995 Stadium Club Beam Team #B14,2,Insert,,1:360 Ser.2 H & 1:720 Ser.2 R
,1998 E-X Century Dunk 'N Go Nuts #15,3,Insert,,1:720
,1998 Skybox Thunder Rave #106 /150 (H),3,Parallel,/150,
,1995 E-XL Natural Born Thrillers #1,3,Insert,,1:480 H/R
,1998 Topps East West (ft. Kobe) Refractor #EW5,3,Insert/Parallel,,"1:2,880 Ser.2"
,1997 Stadium Club One Of A Kind #118 /150 (Ser.1 H/R),3,Parallel,/150,
,1998 Stadium Club One Of A Kind #62 /150 (Ser.1 H),3,Parallel,/150,
,1996 Z-Force Slam Cam #SC5,3,Insert,,"1:2,160 Ser.1 H/R"
,1996 E-X2000 Net Assets #8,3,Insert,,1:400
,1993 Ultra Power In The Key #2,3,Insert,,1:333 Ser.2
,1997 Upper Deck NBA Records Collection #RC30,3,Insert,,1:690 Ser.2
,1997 Hoops Frequent Flyer Club Upgrade #FF4,3,Insert/Parallel,,"1:7,200 Ser.1 H"
,1997 Topps Rock Stars Refractor #RS1,3,Insert/Parallel,,"1:2,880 Ser.1"
,1996 Metal Metal Shredders Precious Metal #241,3,Parallel,,"1:3,528 Ser.2 H"
,1998 Topps Gold Label Red Label #GL1 /100 (Ser.2),3,Parallel,/100,
,1992 Fleer Total D #5,3,Insert,,1:75 Ser.2 Cello
