id,indexNumber,sourceUrl,slug,name,year,manufacturer,brand,cardNumber,cardType,hierarchy,tier,page,row,frontImage,backImage,hasFrontImage,hasBackImage,playerOdds,psaPopReport,ebaySoldListings
1,10001,https://jordan-vault.com/cards/1-1982-92-nike-poster-cards-290837-michael-jordan-spike-lee-is-it-the-shoes-white-1990,1982-92-nike-poster-cards-290837-michael-jordan-spike-lee-is-it-the-shoes-white-1990,1982-92 Nike Poster Cards #290837 Michael Jordan / Spike Lee - Is it the shoes - White (1990),1990,Misc & Unlicensed,Misc & Unlicensed,#290837,Other,,,,,,,false,false,,,
2,10002,https://jordan-vault.com/cards/2-1982-92-nike-poster-cards-290838-michael-jordan-spike-lee-is-it-the-shoes-black-1990,1982-92-nike-poster-cards-290838-michael-jordan-spike-lee-is-it-the-shoes-black-1990,1982-92 Nike Poster Cards #290838 Michael Jordan / Spike Lee - Is it the shoes - Black (1990),1990,Misc & Unlicensed,Misc & Unlicensed,#290838,Other,,,,,,,false,false,,,
3,10003,https://jordan-vault.com/cards/3-1982-92-nike-poster-cards-290848-michael-jordan-orbit-1990,1982-92-nike-poster-cards-290848-michael-jordan-orbit-1990,1982-92 Nike Poster Cards #290848 Michael Jordan - Orbit (1990),1990,Misc & Unlicensed,Misc & Unlicensed,#290848,Other,,,,,,,false,false,,,
4,10004,https://jordan-vault.com/cards/4-1982-92-nike-poster-cards-290850-michael-jordan-air-jordan-1985,1982-92-nike-poster-cards-290850-michael-jordan-air-jordan-1985,1982-92 Nike Poster Cards #290850 Michael Jordan - Air Jordan (1985),1985,Misc & Unlicensed,Misc & Unlicensed,#290850,Other,,,,,,,false,false,,,
5,10005,https://jordan-vault.com/cards/5-1982-92-nike-poster-cards-290851-michael-jordan-freeze-frame-1985,1982-92-nike-poster-cards-290851-michael-jordan-freeze-frame-1985,1982-92 Nike Poster Cards #290851 Michael Jordan - Freeze Frame (1985),1985,Misc & Unlicensed,Misc & Unlicensed,#290851,Other,,,,,,,false,false,,,
6,10006,https://jordan-vault.com/cards/6-1982-92-nike-poster-cards-290858-michael-jordan-black-and-blue-1985,1982-92-nike-poster-cards-290858-michael-jordan-black-and-blue-1985,1982-92 Nike Poster Cards #290858 Michael Jordan - Black and Blue (1985),1985,Misc & Unlicensed,Misc & Unlicensed,#290858,Other,,,,,,,false,false,,,
7,10007,https://jordan-vault.com/cards/7-1982-92-nike-poster-cards-290867-michael-jordan-imagination-1986,1982-92-nike-poster-cards-290867-michael-jordan-imagination-1986,1982-92 Nike Poster Cards #290867 Michael Jordan - Imagination (1986),1986,Misc & Unlicensed,Misc & Unlicensed,#290867,Other,,,,,,,false,false,,,
8,10008,https://jordan-vault.com/cards/8-1982-92-nike-poster-cards-290868-michael-jordan-shirts-and-skins-1986,1982-92-nike-poster-cards-290868-michael-jordan-shirts-and-skins-1986,1982-92 Nike Poster Cards #290868 Michael Jordan - Shirts and Skins (1986),1986,Misc & Unlicensed,Misc & Unlicensed,#290868,Other,,,,,,,false,false,,,
9,10009,https://jordan-vault.com/cards/9-1982-92-nike-poster-cards-290872-sidney-moncrief-michael-jordan-charles-barkley-alvin-robertson-ron-harper-chuck-person-moses-malone-supreme-court-ii-1988,1982-92-nike-poster-cards-290872-sidney-moncrief-michael-jordan-charles-barkley-alvin-robertson-ron-harper-chuck-person-moses-malone-supreme-court-ii-1988,1982-92 Nike Poster Cards #290872 Sidney Moncrief / Michael Jordan / Charles Barkley / Alvin Robertson / Ron Harper / Chuck Person / Moses Malone - Supreme Court II (1988),1988,Misc & Unlicensed,Misc & Unlicensed,#290872,Other,,,,,,,false,false,,,
10,10010,https://jordan-vault.com/cards/10-1982-92-nike-poster-cards-290874-michael-jordan-spike-lee-earth-mars-1988,1982-92-nike-poster-cards-290874-michael-jordan-spike-lee-earth-mars-1988,1982-92 Nike Poster Cards #290874 Michael Jordan / Spike Lee - Earth / Mars (1988),1988,Misc & Unlicensed,Misc & Unlicensed,#290874,Other,,,,,,,false,false,,,
